pubkey,ip,capacity,partner number,channel number
0355157b4260b70c7f407a720c527a84e9522cd948e7a8ad92ae00773be52488e3,24.130.115.66:9735,0.14303110,22,22
028686d520cfdc8f7d234e879ea6fc7a963009afbcdafd0c40387e1cacfa1173ea,84.214.74.65:9735,0.05182229,22,22
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,159.203.122.47:9735,0.28670262,21,26
02da9a920d32ef5033acba994e9394170f97e712ec2bcb98dee55f0f0971f20d6e,35.229.86.246:9735,0.00775600,21,21
02a6b40205ba2046ce7f01089ae1f4afa9363c70fed15fd4674a68f5efea62e71e,35.229.75.228:9735,0.00692600,21,21
03e0a26dca5f4d4dea43ba104d41e4f54b6b66c5b2559811f83b20efafbe307183,68.184.197.15:9735,0.39803644,21,21
029a8741675c4c9078b577ddc4348d602d2fb45a12e6087b617925997a84f4c02e,70.114.203.132:9735,0.24231716,21,21
02365bfc9a72ad65a44b6de728519914c87c0a7d404c50595f3e671e4b6378398e,87.119.172.94:9735,0.20132528,21,21
035f813598df61688b7eff80d546b2ba200bb00c1726bf32f44b692cc98a3580cd,34.240.100.221:9735,0.27278238,20,20
02cb19434eb6c954dae458a499c0cc0b8b43423a894387a4972b98834487d76b89,35.196.36.66:9735,0.00288222,20,20
025adb6ab285538bf5f039e7ed3303283ef3bf3d1c51c9a4856bd6da300cbe863c,35.196.174.150:9735,0.02174900,20,20
03ed7c190c267924be784e4ee5e69a26e06b168553f9a9222ba13eb46a8eef6826,35.229.112.175:9735,0.00912601,20,20
02f3304bb143d14db21a669ee11a4e004f328076b7fc8702138dbcaf492758ddca,35.231.123.90:9735,0.00592600,20,20
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,35.153.92.164:9735,0.10884727,20,20
03ad7fe66e7b95e9db50696488a029315cd0e22b7cd36d344eb53e52742abfced6,91.190.22.151:9735,0.17500428,20,21
03c2d52cdcb5ddd40d62ba3c7197260b0f7b4dcc29ad64724c68426045919922f0,95.235.43.207:9735,0.03442115,20,20
02ef471860e3634fb55624b329c09a682aba187c7aada690bab3c5ad9051f2e9f5,198.199.82.222:9735,0.00056100,20,20
0239475f6f41ca26688699b4e2fb4ac87bcfbde8b02788937a4b7e54bdeb5860ce,91.228.90.100:9735,0.01531150,20,20
02eccebd9ed98f6d267080a58194dbe554a2b33d976eb95bb7c116d00fd64c4a13,45.77.7.202:9735,0.22484955,20,21
02c0ac82c33971de096d87ce5ed9b022c2de678f08002dc37fdb1b6886d12234b5,None,0.01156201,20,20
0250373555232cec757ea141273e75381c84cc3ab22f1e3a3ca5a2dc55b1904c24,92.110.144.95:9735,0.02479778,20,20
038118e0490f8d3df07b6bdc5e7034dee90d769012764d31bfeb167269866824f0,35.185.13.214:9735,0.22862550,19,21
0205b7ea1bc92b7a5982019f78e908fe2454df08ccbf472da20292545099566462,51.15.80.129:9735,0.00000000,19,28
03a2ff540e25310b9d7f8bd15871b49befcb8148daf0282fa411aecda2f6266a92,35.188.146.215:9735,0.01290000,19,19
037172d2110c4148d6ed0c2790ec8be948458022425dced6794fede834be92af36,93.105.187.121:9735,0.11474037,19,19
03e28223dc9b962d824c4a41dd6a2d178a72004594b87aa28cbfdf63e551fbef33,176.12.6.59:9735,0.10724605,19,20
0223390bea8aa598442d056ace37c07e7364da1341b3681c371f6619b2879c0af2,50.192.119.81:9735,0.13739187,19,19
022c3b4bdf935d254a3b3689f0496b8ca55655bf7c5032664899fec252f993bc5e,219.88.232.71:9735,0.07871061,19,21
034f1ec90e841677f8463600c5468f4e0409ae7d04b24885eb6f01912b85e295c3,138.68.20.137:9735,0.08037941,19,19
03138f11fd820b3c4d3c0ce94f0b602f881c9a5bf813cc7ea1df8d7ff859900a0f,73.96.183.172:9735,0.02390000,18,21
